"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Tree","user navigates to Implementation Of BST Page and get the print message in the Editor Page","0","1","2","2","0"
"","QueuePage","User Run Test in Try-editor on Queue operations page","0","0","3","2","0"
"","array","user tries to practice max consecutive ones code","0","0","3","2","0"
"","array","user tries search the array practice question using code and submit button","0","0","3","2","0"
"","array","user navigates to stack page through basic operations in lists page","0","0","3","2","0"
"","QueuePage","Open the Implementation of collections.deque Page","0","0","3","2","0"
"","array","user navigates to applications of array page and then logs out","0","0","3","2","0"
"","array","user navigates back to get started page from the basic lists page","0","0","3","2","0"
"","Tree","user navigates to Binary Tree Traversals Page","0","1","2","2","0"
"","Linked List","Get the alert message","0","0","3","2","0"
"","Tree","user navigates to Binary Search Trees Page and get the print message in the Editor Page","0","1","2","2","0"
"","Tree","Display the try Editor Page under Types of Binary page","0","1","2","2","0"
"","Graph","Open the Practice Questions Page","0","0","3","2","0"
"","Tree","Get Alert Message of Syntx Error under Terminologies page","0","1","2","2","0"
"","Tree","user navigates to Binary Search Trees Page","0","1","2","2","0"
"","StackPage","Scenario: Open the Practice Questions Page and sign out","0","2","0","3","0"
"","Graph","Open the try Editor page in Graph Representations","0","0","3","2","0"
"","QueuePage","Open the practice Question Page and sign out","0","0","3","2","0"
"","Tree","Display the try Editor Page under Applications of Binary trees page","0","1","2","2","0"
"","HomePage","Display of Register page","0","0","3","2","0"
"","Tree","user navigates to Implementation of Binary Trees Page","0","1","2","2","0"
"","Linked List","Open the Introduction page","0","0","3","2","0"
"","Tree","Get Alert Message of Syntx Error Types of Trees page","0","1","2","2","0"
"","Registration page functionality","check is user can register successfully with different passwords","0","0","3","2","0"
"","Registration page functionality","user successfully registers","0","0","3","2","0"
"","Tree","Get Alert Message of Syntx Error under Implementation of Binary Trees","0","1","2","2","0"
"","StackPage","Get the SyntaxError","0","2","0","3","0"
"","HomePage","Verfify the Titlepage of DSPortalapp","0","0","3","2","0"
"","array","user tries search the array practice question without code and submit button","0","0","3","2","0"
"","Data Structures-Introduction","Open the DataStructures-Introduction page","0","0","3","2","0"
"","Tree","Get Alert Message of Syntx Error under overview of Tree page","0","1","2","2","0"
"","Data Structures-Introduction","Display the try Editor Page with Run button to Test","0","0","3","2","0"
"","Tree","Get Alert Message of Syntx Error under Types of Binary Trees","0","1","2","2","0"
"","Tree","Display the try Editor Page under Traversals Illustration page","0","1","2","2","0"
"","Tree","Get Alert Message of Syntx Error under Applications of Binary trees","0","1","2","2","0"
"","Tree","user navigates to OverViewOfTree Page","0","1","2","2","0"
"","Data Structures-Introduction","Open the Practice Questions Page","0","0","3","2","0"
"","HomePage","user get Alert Message","0","0","3","2","0"
"","QueuePage","Display Syntx Error Message","0","0","3","2","0"
"","Registration page functionality","check if user can register successfully with only valid username","0","0","3","2","0"
"","StackPage","Open the Applications in Stack Page","0","2","0","3","0"
"","Tree","Get Alert Message of Syntx Error under Binary Trees page","0","1","2","2","0"
"","Tree","Display the try Editor Page under Implementation Of BST page","0","1","2","2","0"
"","Tree","Display the try Editor Page under Implementation of Binary Trees page","0","1","2","2","0"
"","array","user tries to get to the graph page through practice questions page","0","0","3","2","0"
"","Tree","user navigates to Tree Traversals Page","0","1","2","2","0"
